3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
3,11,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,12,3
3,13,19,16,16,16,19,19,16,19,19,16,16,16,19,19,16,19,19,16,16,16,19,19,16,19,19,16,16,16,19,19,16,19,19,16,16,16,14,3
3,3,3,17,16,18,3,3,26,3,3,17,16,18,3,3,26,3,3,17,16,18,3,3,26,3,3,17,16,18,3,3,26,3,3,17,16,18,3,3
3,22,3,17,16,18,3,11,16,12,3,17,16,18,3,11,16,12,3,17,16,18,3,11,16,12,3,17,16,18,3,11,16,12,3,17,16,18,3,3
3,26,3,13,16,14,3,17,16,18,3,13,16,14,3,17,16,18,3,13,16,14,3,17,16,18,3,13,16,14,3,17,16,18,3,13,16,14,3,3
3,26,3,3,26,3,3,17,16,18,3,3,26,3,3,17,16,18,3,3,26,3,3,17,16,18,3,3,26,3,3,17,16,18,3,3,26,3,3,3
3,17,20,20,16,20,20,16,16,16,20,20,16,20,20,16,16,16,20,20,16,20,20,16,16,16,20,20,16,20,20,16,16,16,20,20,16,20,12,3
3,13,s-19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,14,3
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
