3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
3,11,20,d,20,20,20,20,20,d,20,20,20,20,20,20,12,3,22,3
3,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,3,26,3
3,17,16,19,16,16,16,16,16,16,16,16,16,16,16,16,18,3,26,3
3,13,14,8,13,16,16,16,16,19,19,19,19,19,19,16,18,3,26,3
3,2,2,2,25,17,16,16,18,6,3,3,3,3,7,17,18,3,26,3
3,11,27,20,d,16,16,16,18,1,2,2,2,2,4,17,18,3,26,3
3,26,6,17,16,16,16,16,16,20,20,20,20,d,20,16,18,2,26,3
3,s,3,13,19,19,19,19,19,19,19,19,19,19,19,19,19,27,14,3
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
