3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
3,21,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,12,3
3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,26,3
3,11,20,20,27,20,20,27,20,20,20,20,12,3,11,20,12,3,26,3
3,17,16,18,9,17,18,9,17,16,16,16,18,3,17,19,18,3,26,3
3,17,16,16,27,16,16,27,16,16,19,16,18,3,26,8,26,3,26,3
3,17,16,18,9,17,18,9,17,18,9,17,18,5,26,3,26,3,26,3
3,17,16,16,20,19,16,20,19,16,20,16,16,20,18,3,26,5,26,3
3,s-13,19,19,14,8,13,14,8,13,19,19,19,19,14,3,13,27,14,3
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
