3,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,2,2,2,3
3,21,27,27,20,20,12,3,11,12,2,11,20,20,12,2,11,20,12,3
3,2,2,25,16,16,18,3,13,19,27,16,16,16,16,27,19,19,14,3
3,21,27,27,16,16,18,1,2,2,25,17,16,16,18,10,2,2,2,3
3,2,2,25,16,16,16,20,20,20,20,16,16,d-16,16,20,20,20,12,3
3,11,20,27,16,16,16,19,19,16,16,16,16,16,16,16,16,16,18,3
3,d-13,14,3,17,19,14,6,25,17,16,18,6,2,2,7,16,16,18,3
3,2,2,2,d-26,10,2,3,11,16,16,18,3,11,12,5,16,16,18,3
3,s-21,27,27,19,27,d-24,3,d-13,19,19,14,3,13,19,27,19,19,14,3
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
